Keywords,Utterance,Response
"Snake Plant","How do I care for Snake Plants","Snake Plants are low-maintenance. They thrive in indirect light but can handle low light. Water only when the soil is completely dry, usually every 2-8 weeks"
"Succulents, drain","How to plant Succulents","Succulents need well-draining soil, like a cactus mix with sand or perlite. Always use a pot with a drainage hole to prevent root rot."
"Deer, repellent,fence","How to keep deer away from the plants","To deter deer, use tall fencing (8ft+) or motion-activated sprinklers. Plants like Lavender, Marigolds, and Mint are generally deer-resistant."
"Cats, toxic, Lilies","Are lilies safe for cats at home","Lilies are highly toxic to cats and can cause kidney failure. If your cat ingests any part of a lily, contact a vet immediately"
"Rabbits, lettuce, chewing","How to stop rabbits from chewing on lettuce in gardens","Rabbits are deterred by raised beds or chicken wire fences. Bury the fence 6 inches underground to prevent them from digging underneath"
"Squirrels, digging","Why are squirrels constantly digging and destroying plants","Squirrels hate the smell of cayenne pepper. Sprinkle some on the soil surface or place flat stones over the dirt to prevent digging"
"Bees, pollinators,flowers","How to attract bees to carry out pollination","Attract bees by planting native wildflowers like Bee Balm, Sunflowers, and Lavender. Provide a shallow water source with pebbles for them to land on."
"Compost, bin, green fertiliser","How to start compost for your garden","Start a compost pile with a mix of 'greens' (food scraps, grass) and 'browns' (leaves, cardboard). Turn it regularly to speed up decomposition."
"Watering can, spout,watering","Best watering can outlets for indoor plants","A narrow spout is best for indoor plants to reach the soil without wetting leaves. A 'rose' attachment is better for delicate outdoor seedlings."
"Gloves, thorns, protection","Best gloves for rose plant care","Leather or reinforced synthetic gloves are best for handling thorny plants like roses or blackberries to prevent scratches."
"soil,houseplants,potsoil","What soil should I use for my houseplants?","Most houseplants thrive in a well-draining potting mix. Succulents need a sandy, gritty mix; tropical plants prefer a rich, peat-based mix. Avoid garden soil indoors as it can compact and harbour pests."
"indoors,seedplanting","How do I plant seeds indoors?","Start seeds in a seed-starting mix, plant at the depth shown on the packet (usually 2-3x the seed size), water gently, and place in a warm spot with indirect light. Keep the soil moist until germination."
"tomato,tomato plant","When is the best time to plant tomatoes?","Plant tomatoes outdoors after the last frost date in your area. They need soil temperatures of at least 60F. Start seeds indoors 6-8 weeks before the last frost for a head start."
"rot,root,rot in pot","My plant has root rot, what should I do?","Remove the plant from its pot, trim all black/mushy roots with sterile scissors, and let it dry for a few hours. Repot in fresh, well-draining soil. Reduce watering going forward. In severe cases, the plant may not recover."
"bugs,pests,spidermite,mealybug,fungus gnat,plant pest","How do I get rid of bugs on my plants?","Identify the pest first! Spider mites: wipe with a damp cloth and mist regularly. Mealybugs: dab with rubbing alcohol on a cotton swab. Fungus gnats: let soil dry between waterings. Neem oil spray works for most common houseplant pests."
"wilting,overwatering,underwatering","My plant is wilting - what should I do?","Wilting can mean underwatering, overwatering, heat stress, or root problems. Check the soil first. If dry, water deeply. If wet, let it dry and check for root rot. Move the plant away from direct heat or cold drafts and observe for improvement."
"easy plants,easy starters","What are the easiest plants to start with?","Great starter plants include pothos, snake plants, ZZ plants, peace lilies, and spider plants. These are very forgiving, tolerate low light and irregular watering, and are widely available at most garden centres and supermarkets."
"healthy plant,store plants","How do I pick a healthy plant at the store?","Look for plants with deep green leaves (unless it's a variegated variety), firm stems, no yellowing or brown spots, and no visible pests. Check the undersides of leaves for bugs and inspect the pot for root-bound signs at the drainage hole."
"plant on budget","How can I buy plants on a budget?","Check local Facebook Marketplace, plant swaps, dollar stores, or big-box stores like Home Depot for affordable options. Propagating cuttings from friends is also a free way to expand your collection!"
"rare,exotic,special plants,collectors","Where can I find rare or exotic plants?","Try specialty plant shops, online plant retailers (Etsy, Rare Plant Fairy, Steve's Leaves), or local plant society events. Instagram and Facebook plant groups are also great for trading or buying rare varieties from other collectors."
"best time,buying plants,spring,purchasing","When is the best time to buy plants?","Spring and early summer are ideal - plants are actively growing and more available. However, shopping in late summer or fall can yield discounts as stores clear inventory. Avoid buying tropical plants in deep winter unless you can protect them during transport."
"online shopping,plants online","Is it safe to buy plants online?","Yes! Reputable online sellers wrap plants carefully and ship quickly. Look for sellers with good reviews, a clear returns policy, and guarantees against dead-on-arrival plants. Etsy, The Sill, Bloomscape, and Rooted are popular trusted options."
"plant gifts,gifting,gift giving,plant giving","What plants make good gifts?","Great plant gifts include succulents, orchids, pothos, money trees, and peace lilies. Consider the recipient's lifestyle - a busy person may prefer a low-maintenance cactus, while a plant lover might appreciate a rare monstera or fiddle leaf fig."
"spring,plant seeds,seedlings","What plants should I buy in spring?","Spring is perfect for purchasing vegetable seedlings (tomatoes, peppers, herbs), flowering annuals (petunias, marigolds), and tropical houseplants. Nurseries are fully stocked, and plants have the whole growing season ahead of them."
"bigger plants,high prices","Is a bigger plant worth the higher price?","Larger plants are more expensive but make an instant statement. Smaller plants are more affordable and fun to watch grow. If you're patient, buy small. If you want immediate impact for a space - like a living room corner - invest in a larger specimen."
"pet-safe,plants and pets,indoor plants","What plants are safe to have around pets?","Pet-safe options include spider plants, Boston ferns, calatheas, areca palms, money plants, orchids, and African violets. These are non-toxic to both cats and dogs, making them ideal for pet-friendly homes."
"dogs,succulents,pets","Are succulents safe for dogs?","Most succulents are safe for dogs, but there are exceptions. Jade plants, aloe vera, and euphorbia succulents are toxic to dogs. Haworthia, echeveria, and most sedums are safe. Always verify with the ASPCA database before adding a plant to a pet-friendly home."
